id,Year,CrimeType,AssaultType,Sex,Count
545,2017,Robbery,N/A,Male,72
546,2020,Assault,Assault on a Peace Officer,Male,16
547,2020,Assault,Other,Unknown,2
548,2023,Assault,Resisting Arrest,Male,18
549,2016,Sexual Violation,N/A,Female,15
550,2023,Sexual Violation,N/A,Male,37
551,2021,Other,N/A,Male,60
552,2016,Assault,Other,Male,1316
553,2014,Robbery,N/A,Male,113
554,2019,Other,N/A,Male,381
555,2017,Sexual Violation,N/A,Male,63
556,2021,Assault,Resisting Arrest,Male,4
557,2018,Other,N/A,Female,106
558,2019,Assault,Other,Unknown,1
559,2014,Assault,Assaulting a Peace Officer with a Weapon,Male,23
560,2023,Sexual Violation,N/A,Male,65
561,2023,Assault,Other,Female,1861
562,2019,Other,N/A,Female,570
563,2018,Sexual Violation,N/A,Male,4
564,2020,Robbery,N/A,Female,118
565,2018,Assault,Resisting Arrest,Male,5
566,2019,Assault,Other,Male,477
567,2016,Assault,Assault on a Peace Officer,Male,1
568,2020,Other,N/A,Female,247
569,2016,Assault,Resisting Arrest,Male,1
570,2015,Sexual Violation,N/A,Female,22
571,2018,Sexual Violation,N/A,Female,636
572,2014,Assault,Other,Male,213
573,2016,Assault,Resisting Arrest,Male,49
574,2021,Assault,Aggravated Assault on a Peace Officer,Male,4
575,2017,Assault,Resisting Arrest,Male,31
576,2015,Assault,Resisting Arrest,Male,19
577,2021,Robbery,N/A,Female,2
578,2019,Other,N/A,Male,280
579,2023,Assault,Assaulting a Peace Officer with a Weapon,Male,42
580,2023,Robbery,N/A,Female,9
581,2019,Sexual Violation,N/A,Unknown,1
582,2017,Other,N/A,Unknown,9
583,2017,Assault,Assaulting a Peace Officer with a Weapon,Female,4
584,2015,Assault,Assaulting a Peace Officer with a Weapon,Female,4
585,2019,Robbery,N/A,Male,198
586,2021,Sexual Violation,N/A,Male,62
587,2014,Assault,Assault on a Peace Officer,Female,3
588,2015,Assault,Other,Female,1458
589,2020,Robbery,N/A,Male,190
590,2022,Sexual Violation,N/A,Unknown,2
591,2017,Assault,Resisting Arrest,Male,76
592,2015,Sexual Violation,N/A,Female,234
593,2015,Assault,Assault on a Peace Officer,Male,3
594,2017,Assault,Assault on a Peace Officer,Male,32
595,2021,Other,N/A,Male,178
596,2017,Other,N/A,Female,347
597,2022,Assault,Assault on a Peace Officer,Male,9
598,2021,Assault,Assault on a Peace Officer,Male,5
599,2016,Assault,Assaulting a Peace Officer with a Weapon,Male,26
600,2021,Assault,Assaulting a Peace Officer with a Weapon,Female,15
601,2021,Assault,Resisting Arrest,Female,4
602,2014,Robbery,N/A,Female,70
603,2017,Other,N/A,Unknown,3
604,2016,Sexual Violation,N/A,Female,417
605,2014,Robbery,N/A,Male,215
606,2017,Assault,Other,Female,1376
607,2015,Robbery,N/A,Male,153
608,2020,Sexual Violation,N/A,Female,16
609,2020,Assault,Assault on a Peace Officer,Unknown,11
610,2020,Sexual Violation,N/A,Male,15
611,2019,Other,N/A,Unknown,12
612,2015,Assault,Assaulting a Peace Officer with a Weapon,Male,1
613,2014,Sexual Violation,N/A,Female,42
614,2020,Other,N/A,Unknown,1
615,2022,Assault,Other,Female,620
616,2018,Assault,Assaulting a Peace Officer with a Weapon,Male,15
617,2023,Robbery,N/A,Female,156
618,2016,Assault,Other,Female,111
619,2015,Other,N/A,Male,296
620,2016,Robbery,N/A,Female,6
621,2017,Assault,Other,Unknown,1
622,2018,Robbery,N/A,Male,248
623,2020,Assault,Resisting Arrest,Male,14
624,2020,Assault,Resisting Arrest,Female,6
625,2021,Assault,Other,Female,388
626,2018,Other,N/A,Female,483
627,2022,Assault,Resisting Arrest,Female,4
628,2020,Assault,Other,Female,204
629,2022,Robbery,N/A,Male,23
630,2017,Assault,Aggravated Assault on a Peace Officer,Male,4
631,2022,Assault,Resisting Arrest,Male,15
632,2018,Assault,Resisting Arrest,Female,3
633,2020,Assault,Other,Female,962
634,2017,Sexual Violation,N/A,Male,27
635,2023,Other,N/A,Male,71
636,2021,Other,N/A,Unknown,1
637,2018,Sexual Violation,N/A,Male,10
638,2018,Assault,Assault on a Peace Officer,Female,4
639,2018,Assault,Other,Female,532
640,2015,Assault,Other,Male,1696
641,2019,Other,N/A,Male,169
642,2016,Assault,Other,Female,1499
643,2022,Assault,Resisting Arrest,Male,53
644,2015,Sexual Violation,N/A,Female,473
645,2023,Other,N/A,Male,366
